_id,plot,genres,runtime,cast,num_mflix_comments,title,fullplot,countries,released,directors,rated,awards,lastupdated,year,imdb,type,tomatoes,poster,writers,languages,metacritic
573a13a0f29313caabd053e5,"A father and daughter are caught in a parallel universe where the great queens Snow White, Cinderella, and Little Red Riding Hood have had their kingdoms fragmented by warring trolls, giants and goblins.","['Adventure', 'Comedy', 'Family']",417.0,"['Kimberly Williams-Paisley', 'Scott Cohen', 'John Larroquette', 'Dianne Wiest']",,The 10th Kingdom,"Two centuries after Snow White and Cinderella had their adventures, the Nine Kingdoms ready themselves for the coronation of Prince Wendel, Snow White's grandson, to the throne of the Fourth Kingdom. But an evil once-queen has freed herself from prison, and turns the prince into a golden retriever. Wendel, by means of a magic mirror, escapes into a hitherto-unknown Tenth Kingdom (modern day New York City) and meets Virginia and her father Tony. Pursued by trolls, cops, and a wolf in man's form, the three blunder back into the Nine Kingdoms and begin their adventures to restore Wendel to his human form and throne, and find the magic mirror that will take Tony and Virginia back home, all the while unknowing that Virginia already has a connection to the Nine Kingdoms that may prove deadly before we reach Happily Ever After.","['UK', 'Germany', 'USA']",2000-02-27,,NOT RATED,"{'wins': 5, 'nominations': 5, 'text': 'Won 1 Primetime Emmy. Another 4 wins & 5 nominations.'}",2015-08-31 00:48:19.653000000,2000,"{'rating': 8.4, 'votes': 13409, 'id': 207275}",series,"{'viewer': {'rating': 3.1, 'numReviews': 288}, 'lastUpdated': datetime.datetime(2015, 6, 4, 19, 2, 47)}",https://m.media-amazon.com/images/M/MV5BMTc4NTcyNzgwMV5BMl5BanBnXkFtZTcwMTU4NjUyMQ@@._V1_SY1000_SX677_AL_.jpg,,['English'],
573a13a3f29313caabd0d897,"Three unemployed men find the answer to all their money problems when they recieve a call from a kidnapper. However, things do not go as planned...","['Comedy', 'Crime', 'Thriller']",156.0,"['Paresh Rawal', 'Akshay Kumar', 'Sunil Shetty', 'Tabu']",,Hera Pheri,"Baburao is a landlord in India, who is very near-sighted, and always in financial trouble. He has a tenant named Raja, who has not paid his rent for several months. He also has anther tenant named Shyam, who has come to the city to look for a job in his late father's place, but is unable to find employment. The three men quarrel amongst themselves frequently. Then one day, the three men get a phone call from a kidnapper named Kabira, and decide to make use of this phone call to overcome their financial problems - pretend to be the real kidnappers, increase the ransom amount, keep the incremental amount for themselves, and then give the original ransom demanded to Kabira. Will they get away with this idea?",['India'],2000-03-31,['Priyadarshan'],,"{'wins': 5, 'nominations': 3, 'text': '5 wins & 3 nominations.'}",2015-08-05 00:31:31.943000000,2000,"{'rating': 8.5, 'votes': 19876, 'id': 242519}",movie,"{'viewer': {'rating': 4.3, 'numReviews': 4106, 'meter': 92}, 'dvd': datetime.datetime(2004, 1, 6, 0, 0), 'production': 'Saavn', 'lastUpdated': datetime.datetime(2015, 8, 5, 18, 34, 12)}",https://m.media-amazon.com/images/M/MV5BZWY2MGUzM2QtZDljNy00ZTg5LTk0ODQtMjE1ODhjMzcyMDg1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SY1000_SX677_AL_.jpg,"['Siddique (story)', 'Lal (story)', 'Neeraj Vora (dialogue)', 'Neeraj Vora (screenplay)', 'Anand S. Vardhan (story)']",['Hindi'],
573a139ef29313caabcfd114,"When a Roman general is betrayed and his family murdered by an emperor's corrupt son, he comes to Rome as a gladiator to seek revenge.","['Action', 'Drama']",155.0,"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Oliver Reed']",420.0,Gladiator,"Maximus is a powerful Roman general, loved by the people and the aging Emperor, Marcus Aurelius. Before his death, the Emperor chooses Maximus to be his heir over his own son, Commodus, and a power struggle leaves Maximus and his family condemned to death. The powerful general is unable to save his family, and his loss of will allows him to get captured and put into the Gladiator games until he dies. The only desire that fuels him now is the chance to rise to the top so that he will be able to look into the eyes of the man who will feel his revenge.","['USA', 'UK']",2000-05-05,['Ridley Scott'],R,"{'wins': 63, 'nominations': 94, 'text': 'Won 5 Oscars. Another 58 wins & 94 nominations.'}",2015-09-02 00:01:37.147000000,2000,"{'rating': 8.5, 'votes': 872873, 'id': 172495}",movie,"{'website': 'http://www.gladiator-thefilm.com', 'viewer': {'rating': 3.8, 'numReviews': 34124318, 'meter': 87}, 'dvd': datetime.datetime(2000, 11, 21, 0, 0), 'critic': {'rating': 7.2, 'numReviews': 184, 'meter': 76}, 'boxOffice': '$187.3M', 'consensus': 'Ridley Scott and an excellent cast successfully convey the intensity of Roman gladitorial combat as well as the political intrigue brewing beneath.', 'rotten': 44, 'production': 'Dreamworks Distribution LLC', 'lastUpdated': datetime.datetime(2015, 9, 12, 17, 46, 22), 'fresh': 140}",https://m.media-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SY1000_SX677_AL_.jpg,"['David Franzoni (story)', 'David Franzoni (screenplay)', 'John Logan (screenplay)', 'William Nicholson (screenplay)']",['English'],64.0
573a13a2f29313caabd0ba5f,A hilarious collection of animated television commercials that were rejected because of their creator's failing grip on sanity.,"['Animation', 'Short', 'Comedy']",9.0,"['Robert May', 'Jennifer Nyholm', 'Don Hertzfeldt']",,Rejected,"An animator's commissioned works, rejected because of their increasingly absurd and violent tone (reflecting the animator's own progressive breakdown), eventually find their entire animated world collapsing in upon itself.",['USA'],2000-07-25,['Don Hertzfeldt'],UNRATED,"{'wins': 18, 'nominations': 1, 'text': 'Nominated for 1 Oscar. Another 17 wins & 1 nomination.'}",2015-09-17 03:17:45.497000000,2000,"{'rating': 8.1, 'votes': 5611, 'id': 234588}",movie,"{'viewer': {'rating': 4.3, 'numReviews': 3680, 'meter': 93}, 'lastUpdated': datetime.datetime(2015, 8, 20, 19, 4, 52)}",,['Don Hertzfeldt'],"['English', 'Swedish']",
573a13a5f29313caabd14579,"The lively Joèo Grilo and the sly Chicè are poor guys living in the hinterland who cheat a bunch of people in a small Northeast Brazil town. But when they die, they have to be judged by ...","['Adventure', 'Comedy']",104.0,"['Matheus Nachtergaele', 'Selton Mello', 'Rogèrio Cardoso', 'Denise Fraga']",1.0,A Dog's Will,"The lively Joèo Grilo and the sly Chicè are poor guys living in the hinterland who cheat a bunch of people in a small Northeast Brazil town. But when they die, they have to be judged by Christ, the Devil and the Virgin Mary, before they are admitted to paradise.",['Brazil'],2000-09-10,['Guel Arraes'],,"{'wins': 7, 'nominations': 2, 'text': '7 wins & 2 nominations.'}",2015-05-24 00:20:48.280000000,2000,"{'rating': 8.5, 'votes': 4622, 'id': 271383}",movie,"{'viewer': {'rating': 4.2, 'numReviews': 2699, 'meter': 93}, 'lastUpdated': datetime.datetime(2015, 8, 26, 18, 18, 18)}",,"['Guel Arraes', 'Adriana Falcèo', 'Joèo Falcèo', 'Ariano Suassuna (play)']",['Portuguese'],
573a139ef29313caabcfedcb,The drug-induced utopias of four Coney Island people are shattered when their addictions become stronger.,['Drama'],102.0,"['Ellen Burstyn', 'Jared Leto', 'Jennifer Connelly', 'Marlon Wayans']",2.0,Requiem for a Dream,"Drugs. They consume mind, body and soul. Once you're hooked, you're hooked. Four lives. Four addicts. Four failures. Despite their aspirations of greatness, they succumb to their addictions. Watching the addicts spiral out of control, we bear witness to the dirtiest, ugliest portions of the underworld addicts reside in. It is shocking and eye-opening but demands to be seen by both addicts and non-addicts alike.",['USA'],2000-12-15,['Darren Aronofsky'],R,"{'wins': 44, 'nominations': 48, 'text': 'Nominated for 1 Oscar. Another 43 wins & 48 nominations.'}",2015-09-02 00:08:59.083000000,2000,"{'rating': 8.4, 'votes': 516397, 'id': 180093}",movie,"{'website': 'http://www.requiemforadream.com', 'viewer': {'rating': 4.1, 'numReviews': 325108, 'meter': 93}, 'dvd': datetime.datetime(2001, 5, 22, 0, 0), 'critic': {'rating': 7.4, 'numReviews': 133, 'meter': 78}, 'boxOffice': '$2.5M', 'consensus': 'Though the movie may be too intense for some to stomach, the wonderful performances and the bleak imagery are hard to forget.', 'rotten': 29, 'production': 'Artisan Entertainment', 'lastUpdated': datetime.datetime(2015, 9, 12, 17, 6, 31), 'fresh': 104}",https://m.media-amazon.com/images/M/MV5BOTdiNzJlOWUtNWMwNS00NmFlLWI0YTEtZmI3YjIzZWUyY2Y3XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SY1000_SX677_AL_.jpg,"['Hubert Selby Jr. (based on the book by)', 'Hubert Selby Jr. (screenplay)', 'Darren Aronofsky (screenplay)']",['English'],68.0
573a13a3f29313caabd0e6e1,"Each member of a family in Taipei asks hard questions about life's meaning as they live through everyday quandaries. NJ is morose: his brother owes him money, his mother is in a coma, his ...","['Drama', 'Music', 'Romance']",173.0,"['Nien-Jen Wu', 'Elaine Jin', 'Issei Ogata', 'Kelly Lee']",2.0,Yi Yi,"Each member of a family in Taipei asks hard questions about life's meaning as they live through everyday quandaries. NJ is morose: his brother owes him money, his mother is in a coma, his wife suffers a spiritual crisis when she finds her life a blank, his business partners make bad decisions against his advice, and he reconnects with his first love 30 years after he dumped her. His teenage daughter Ting-Ting watches emotions roil in their neighbors' flat and is experiencing the first stirrings of love. His 8-year-old son Yang-Yang is laconic like his dad and pursues truth with the help of a camera. ""Why is the world so different from what we think it is?"" asks Ting-Ting.","['Taiwan', 'Japan']",2000-12-16,['Edward Yang'],NOT RATED,"{'wins': 18, 'nominations': 13, 'text': '18 wins & 13 nominations.'}",2015-08-30 22:51:29.280000000,2000,"{'rating': 8.1, 'votes': 11657, 'id': 244316}",movie,"{'viewer': {'rating': 5.0, 'numReviews': 84}, 'dvd': datetime.datetime(2007, 6, 12, 0, 0), 'lastUpdated': datetime.datetime(2015, 8, 20, 18, 54, 25)}",https://m.media-amazon.com/images/M/MV5BZDNkMGUyYzUtNjM0ZC00NDM2LWE5ZjEtMjliNzIxMmMzZThhXkEyXkFqcGdeQXVyMzAxNjg3MjQ@._V1_SY1000_SX677_AL_.jpg,['Edward Yang'],"['Mandarin', 'Min Nan', 'Hokkien', 'English', 'Japanese']",92.0
573a13a3f29313caabd0df51,"Each member of a family in Taipei asks hard questions about life's meaning as they live through everyday quandaries. NJ is morose: his brother owes him money, his mother is in a coma, his ...","['Drama', 'Music', 'Romance']",173.0,"['Nien-Jen Wu', 'Elaine Jin', 'Issei Ogata', 'Kelly Lee']",3.0,Yi Yi,"Each member of a family in Taipei asks hard questions about life's meaning as they live through everyday quandaries. NJ is morose: his brother owes him money, his mother is in a coma, his wife suffers a spiritual crisis when she finds her life a blank, his business partners make bad decisions against his advice, and he reconnects with his first love 30 years after he dumped her. His teenage daughter Ting-Ting watches emotions roil in their neighbors' flat and is experiencing the first stirrings of love. His 8-year-old son Yang-Yang is laconic like his dad and pursues truth with the help of a camera. ""Why is the world so different from what we think it is?"" asks Ting-Ting.","['Taiwan', 'Japan']",2000-12-16,['Edward Yang'],NOT RATED,"{'wins': 18, 'nominations': 13, 'text': '18 wins & 13 nominations.'}",2015-09-17 03:00:00.573000000,2000,"{'rating': 8.1, 'votes': 11699, 'id': 244316}",movie,"{'viewer': {'rating': 5.0, 'numReviews': 84}, 'dvd': datetime.datetime(2007, 6, 12, 0, 0), 'lastUpdated': datetime.datetime(2015, 8, 20, 18, 54, 25)}",https://m.media-amazon.com/images/M/MV5BZDNkMGUyYzUtNjM0ZC00NDM2LWE5ZjEtMjliNzIxMmMzZThhXkEyXkFqcGdeQXVyMzAxNjg3MjQ@._V1_SY1000_SX677_AL_.jpg,['Edward Yang'],"['Mandarin', 'Min Nan', 'Hokkien', 'English', 'Japanese']",92.0
573a13a1f29313caabd087cf,A survey of the musical form's history and major talents.,"['Documentary', 'History', 'Music']",114.0,['Keith David'],1.0,Jazz,"This series explores the history of the major American musical form. We track its development in African American culture, its rise to prominence with its golden age of popularity spanning from the 1920's to the mid 1940's both in its original form and in Swing through its popular decline and the rise of vital new sub-genres into the present day. Along the way, we learn of the lives and work of major contributors to the form such as Louis Armstrong, Duke Ellington, Billie Holiday, Benny Goodman, Charlie ""Bird"" Parker and many others who helped form Jazz into the vibrant musical form it is. Moreover, we see how the music reflected the political and social issues of the African American community over the course of the form's history.","['UK', 'USA']",2001-01-08,,,"{'wins': 6, 'nominations': 2, 'text': 'Nominated for 5 Primetime Emmys. Another 1 win & 2 nominations.'}",2015-09-12 00:23:47.297000000,2001,"{'rating': 8.4, 'votes': 1244, 'id': 221300}",series,"{'viewer': {'rating': 2.6, 'numReviews': 145, 'meter': 17}, 'dvd': datetime.datetime(2000, 4, 11, 0, 0), 'critic': {'rating': 4.0, 'numReviews': 5, 'meter': 40}, 'lastUpdated': datetime.datetime(2015, 8, 20, 19, 38, 7), 'rotten': 3, 'production': 'Artisan Entertainment', 'fresh': 2}",https://m.media-amazon.com/images/M/MV5BZWRiNDkzNzgtODQ0NS00N2Q0LWI5YTQtZTJmNmIzMmQ2YTdkXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SY1000_SX677_AL_.jpg,,['English'],
573a13a0f29313caabd056e1,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers, and supposedly Jewish jewelers fight to track down a priceless stolen diamond.","['Comedy', 'Crime']",102.0,"['Benicio Del Toro', 'Dennis Farina', 'Vinnie Jones', 'Brad Pitt']",,Snatch.,"Turkish and his close friend/accomplice Tommy get pulled into the world of match fixing by the notorious Brick Top. Things get complicated when the boxer they had lined up gets badly beaten by Pitt, a 'pikey' ( slang for an Irish Gypsy)- who comes into the equation after Turkish, an unlicensed boxing promoter wants to buy a caravan off the Irish Gypsies. They then try to convince Pitt not only to fight for them, but to lose for them too. Whilst all this is going on, a huge diamond heist takes place, and a fistful of motley characters enter the story, including 'Cousin Avi', 'Boris The Blade', 'Franky Four Fingers' and 'Bullet Tooth Tony'. Things go from bad to worse as it all becomes about the money, the guns, and the damned dog!","['UK', 'USA']",2001-01-19,['Guy Ritchie'],R,"{'wins': 5, 'nominations': 5, 'text': '5 wins & 5 nominations.'}",2015-09-04 00:36:47.023000000,2000,"{'rating': 8.3, 'votes': 541998, 'id': 208092}",movie,"{'viewer': {'rating': 4.0, 'numReviews': 392208, 'meter': 93}, 'dvd': datetime.datetime(2001, 7, 3, 0, 0), 'critic': {'rating': 6.4, 'numReviews': 139, 'meter': 73}, 'boxOffice': '$30.1M', 'consensus': ""Though perhaps a case of style over substance, Guy Ritchie's second crime caper is full of snappy dialogue, dark comedy, and interesting characters."", 'rotten': 38, 'production': 'Columbia Pictures', 'lastUpdated': datetime.datetime(2015, 9, 12, 18, 13, 10), 'fresh': 101}",https://m.media-amazon.com/images/M/MV5BMTA2NDYxOGYtYjU1Mi00Y2QzLTgxMTQtMWI1MGI0ZGQ5MmU4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SY1000_SX677_AL_.jpg,['Guy Ritchie'],"['English', 'Russian']",55.0
